,Image,x0,y0,x1,y1,Car_ref,Car_name,File_loc,Car_type,Year,Height,Width
10,00011.jpg,51,93,601,393,49,Buick Verano Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Buick Verano Sedan 2012/00011.jpg,Sedan,2012,424,640
11,00012.jpg,6,62,499,286,186,Toyota Sequoia SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Toyota Sequoia SUV 2012/00012.jpg,SUV,2012,315,500
12,00013.jpg,30,36,418,307,135,Hyundai Elantra Sedan 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Hyundai Elantra Sedan 2007/00013.jpg,Sedan,2007,335,500
13,00014.jpg,31,246,778,540,85,Dodge Caravan Minivan 1997,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Dodge Caravan Minivan 1997/00014.jpg,Minivan,1997,600,800
14,00015.jpg,32,77,589,379,193,Volvo C30 Hatchback 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Volvo C30 Hatchback 2012/00015.jpg,Hatchback,2012,424,640
15,00016.jpg,27,49,611,396,172,Plymouth Neon Coupe 1999,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Plymouth Neon Coupe 1999/00016.jpg,Coupe,1999,480,640
16,00017.jpg,39,52,233,150,14,Audi TTS Coupe 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Audi TTS Coupe 2012/00017.jpg,Coupe,2012,194,259
17,00018.jpg,3,8,190,147,73,Chevrolet Malibu Sedan 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chevrolet Malibu Sedan 2007/00018.jpg,Sedan,2007,147,200
18,00019.jpg,247,287,1366,761,192,Volkswagen Beetle Hatchback 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Volkswagen Beetle Hatchback 2012/00019.jpg,Hatchback,2012,938,1500
19,00020.jpg,17,281,961,596,57,Chevrolet Corvette Ron Fellows Edition Z06 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chevrolet Corvette Ron Fellows Edition Z06 2007/00020.jpg,Z06,2007,650,1000
20,00021.jpg,17,156,695,375,79,Chrysler 300 SRT-8 2010,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chrysler 300 SRT-8 2010/00021.jpg,SRT-8,2010,469,750
21,00022.jpg,212,538,1893,1131,36,BMW M6 Convertible 2010,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/BMW M6 Convertible 2010/00022.jpg,Convertible,2010,1386,2100
22,00023.jpg,11,28,476,234,120,GMC Yukon Hybrid SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/GMC Yukon Hybrid SUV 2012/00023.jpg,SUV,2012,270,500
23,00024.jpg,53,126,973,621,170,Nissan Juke Hatchback 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Nissan Juke Hatchback 2012/00024.jpg,Hatchback,2012,768,1024
24,00025.jpg,34,87,567,343,194,Volvo 240 Sedan 1993,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Volvo 240 Sedan 1993/00025.jpg,Sedan,1993,453,604
25,00026.jpg,30,174,598,379,134,Hyundai Sonata Hybrid Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Hyundai Sonata Hybrid Sedan 2012/00026.jpg,Sedan,2012,417,628
26,00027.jpg,80,107,606,336,184,Suzuki SX4 Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Suzuki SX4 Sedan 2012/00027.jpg,Sedan,2012,418,630
27,00028.jpg,45,115,585,382,86,Dodge Ram Pickup 3500 Crew Cab 2010,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Dodge Ram Pickup 3500 Crew Cab 2010/00028.jpg,Cab,2010,412,620
28,00029.jpg,28,139,1564,1126,180,Spyker C8 Coupe 2009,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Spyker C8 Coupe 2009/00029.jpg,Coupe,2009,1200,1600
29,00030.jpg,82,109,874,521,194,Volvo 240 Sedan 1993,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Volvo 240 Sedan 1993/00030.jpg,Sedan,1993,592,896
30,00031.jpg,55,318,446,564,154,Land Rover Range Rover SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Land Rover Range Rover SUV 2012/00031.jpg,SUV,2012,768,1024
31,00032.jpg,12,31,471,350,139,Hyundai Elantra Touring Hatchback 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Hyundai Elantra Touring Hatchback 2012/00032.jpg,Hatchback,2012,375,500
32,00033.jpg,34,197,1011,656,66,Chevrolet Cobalt SS 2010,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chevrolet Cobalt SS 2010/00033.jpg,SS,2010,768,1024
33,00034.jpg,37,63,614,397,133,Hyundai Veracruz SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Hyundai Veracruz SUV 2012/00034.jpg,SUV,2012,480,640
34,00035.jpg,223,87,1111,670,154,Land Rover Range Rover SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Land Rover Range Rover SUV 2012/00035.jpg,SUV,2012,816,1258
35,00036.jpg,138,41,521,223,104,Ferrari 458 Italia Coupe 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ferrari 458 Italia Coupe 2012/00036.jpg,Coupe,2012,250,580
36,00037.jpg,31,87,616,344,38,BMW Z4 Convertible 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/BMW Z4 Convertible 2012/00037.jpg,Convertible,2012,425,640
37,00038.jpg,16,89,459,326,97,Dodge Charger SRT-8 2009,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Dodge Charger SRT-8 2009/00038.jpg,SRT-8,2009,360,480
38,00039.jpg,53,113,614,350,105,Fisker Karma Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Fisker Karma Sedan 2012/00039.jpg,Sedan,2012,425,640
39,00040.jpg,214,110,660,403,142,Infiniti QX56 SUV 2011,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Infiniti QX56 SUV 2011/00040.jpg,SUV,2011,469,750
40,00041.jpg,61,55,566,408,13,Audi A5 Coupe 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Audi A5 Coupe 2012/00041.jpg,Coupe,2012,480,640
41,00042.jpg,28,61,622,371,191,Volkswagen Golf Hatchback 1991,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Volkswagen Golf Hatchback 1991/00042.jpg,Hatchback,1991,452,640
42,00043.jpg,22,39,588,362,119,GMC Savana Van 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/GMC Savana Van 2012/00043.jpg,Van,2012,417,596
43,00044.jpg,220,193,537,364,38,BMW Z4 Convertible 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/BMW Z4 Convertible 2012/00044.jpg,Convertible,2012,439,659
44,00045.jpg,12,108,489,297,186,Toyota Sequoia SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Toyota Sequoia SUV 2012/00045.jpg,SUV,2012,375,500
45,00046.jpg,28,80,759,466,25,Audi TT RS Coupe 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Audi TT RS Coupe 2012/00046.jpg,Coupe,2012,492,786
46,00047.jpg,84,248,1102,899,194,Volvo 240 Sedan 1993,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Volvo 240 Sedan 1993/00047.jpg,Sedan,1993,1200,1600
47,00048.jpg,142,69,753,451,177,Rolls-Royce Phantom Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Rolls-Royce Phantom Sedan 2012/00048.jpg,Sedan,2012,541,813
48,00049.jpg,166,543,887,903,173,Porsche Panamera Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Porsche Panamera Sedan 2012/00049.jpg,Sedan,2012,1067,1600
49,00050.jpg,20,96,564,341,42,Bentley Continental GT Coupe 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Bentley Continental GT Coupe 2012/00050.jpg,Coupe,2012,407,580
50,00051.jpg,41,181,607,465,91,Dodge Dakota Club Cab 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Dodge Dakota Club Cab 2007/00051.jpg,Cab,2007,480,640
51,00052.jpg,39,29,774,395,148,Jeep Grand Cherokee SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Jeep Grand Cherokee SUV 2012/00052.jpg,SUV,2012,424,808
52,00053.jpg,161,191,425,307,15,Audi R8 Coupe 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Audi R8 Coupe 2012/00053.jpg,Coupe,2012,375,500
53,00054.jpg,58,562,1528,1081,97,Dodge Charger SRT-8 2009,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Dodge Charger SRT-8 2009/00054.jpg,SRT-8,2009,1200,1600
54,00055.jpg,80,120,582,391,42,Bentley Continental GT Coupe 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Bentley Continental GT Coupe 2012/00055.jpg,Coupe,2012,433,620
55,00056.jpg,32,48,472,267,53,Cadillac Escalade EXT Crew Cab 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Cadillac Escalade EXT Crew Cab 2007/00056.jpg,Cab,2007,315,500
56,00057.jpg,260,138,972,439,44,Bentley Continental Flying Spur Sedan 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Bentley Continental Flying Spur Sedan 2007/00057.jpg,Sedan,2007,498,1200
57,00058.jpg,11,35,256,173,65,Chevrolet Avalanche Crew Cab 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chevrolet Avalanche Crew Cab 2012/00058.jpg,Cab,2012,194,260
58,00059.jpg,68,91,607,354,90,Dodge Dakota Crew Cab 2010,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Dodge Dakota Crew Cab 2010/00059.jpg,Cab,2010,480,640
59,00060.jpg,129,120,345,269,124,HUMMER H3T Crew Cab 2010,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/HUMMER H3T Crew Cab 2010/00060.jpg,Cab,2010,300,400
60,00061.jpg,11,104,1011,742,114,Ford F-150 Regular Cab 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ford F-150 Regular Cab 2007/00061.jpg,Cab,2007,764,1023
61,00062.jpg,19,21,425,265,190,Volkswagen Golf Hatchback 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Volkswagen Golf Hatchback 2012/00062.jpg,Hatchback,2012,280,450
62,00063.jpg,175,330,928,647,101,Ferrari FF Coupe 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ferrari FF Coupe 2012/00063.jpg,Coupe,2012,774,1032
63,00064.jpg,97,39,925,700,187,Toyota Camry Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Toyota Camry Sedan 2012/00064.jpg,Sedan,2012,768,1024
64,00065.jpg,63,175,417,320,8,Aston Martin V8 Vantage Convertible 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Aston Martin V8 Vantage Convertible 2012/00065.jpg,Convertible,2012,361,500
65,00066.jpg,30,39,221,125,17,Audi 100 Sedan 1994,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Audi 100 Sedan 1994/00066.jpg,Sedan,1994,194,259
66,00067.jpg,129,89,594,432,111,Ford Ranger SuperCab 2011,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ford Ranger SuperCab 2011/00067.jpg,SuperCab,2011,480,640
67,00068.jpg,32,43,598,350,122,GMC Canyon Extended Cab 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/GMC Canyon Extended Cab 2012/00068.jpg,Cab,2012,438,640
68,00069.jpg,142,124,675,445,5,Acura TSX Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Acura TSX Sedan 2012/00069.jpg,Sedan,2012,533,800
69,00070.jpg,220,313,1054,976,29,BMW 3 Series Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/BMW 3 Series Sedan 2012/00070.jpg,Sedan,2012,1200,1600
70,00071.jpg,8,12,639,299,126,Honda Odyssey Minivan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Honda Odyssey Minivan 2012/00071.jpg,Minivan,2012,305,643
71,00072.jpg,92,271,1178,749,94,Dodge Durango SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Dodge Durango SUV 2012/00072.jpg,SUV,2012,850,1280
72,00073.jpg,15,12,314,230,106,Ford F-450 Super Duty Crew Cab 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ford F-450 Super Duty Crew Cab 2012/00073.jpg,Cab,2012,240,320
73,00074.jpg,14,12,309,223,106,Ford F-450 Super Duty Crew Cab 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ford F-450 Super Duty Crew Cab 2012/00074.jpg,Cab,2012,240,320
74,00075.jpg,45,74,522,253,188,Toyota Corolla Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Toyota Corolla Sedan 2012/00075.jpg,Sedan,2012,286,550
75,00076.jpg,12,27,284,166,59,Chevrolet Camaro Convertible 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chevrolet Camaro Convertible 2012/00076.jpg,Convertible,2012,187,300
76,00077.jpg,25,25,3502,2017,110,Ford Edge SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ford Edge SUV 2012/00077.jpg,SUV,2012,2153,3552
77,00078.jpg,36,88,611,417,43,Bentley Continental GT Coupe 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Bentley Continental GT Coupe 2007/00078.jpg,Coupe,2007,480,640
78,00079.jpg,165,126,749,425,133,Hyundai Veracruz SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Hyundai Veracruz SUV 2012/00079.jpg,SUV,2012,469,750
79,00080.jpg,20,21,292,217,111,Ford Ranger SuperCab 2011,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ford Ranger SuperCab 2011/00080.jpg,SuperCab,2011,224,300
80,00081.jpg,10,55,540,271,8,Aston Martin V8 Vantage Convertible 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Aston Martin V8 Vantage Convertible 2012/00081.jpg,Convertible,2012,301,550
81,00082.jpg,63,113,597,413,192,Volkswagen Beetle Hatchback 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Volkswagen Beetle Hatchback 2012/00082.jpg,Hatchback,2012,480,640
82,00083.jpg,55,48,294,205,18,Audi 100 Wagon 1994,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Audi 100 Wagon 1994/00083.jpg,Wagon,1994,225,300
83,00084.jpg,27,67,620,474,116,Ford E-Series Wagon Van 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ford E-Series Wagon Van 2012/00084.jpg,Van,2012,480,640
84,00085.jpg,15,80,629,402,49,Buick Verano Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Buick Verano Sedan 2012/00085.jpg,Sedan,2012,480,640
85,00086.jpg,119,300,1416,871,145,Jeep Patriot SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Jeep Patriot SUV 2012/00086.jpg,SUV,2012,920,1500
86,00087.jpg,17,36,455,215,49,Buick Verano Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Buick Verano Sedan 2012/00087.jpg,Sedan,2012,234,467
87,00088.jpg,171,176,2373,1751,170,Nissan Juke Hatchback 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Nissan Juke Hatchback 2012/00088.jpg,Hatchback,2012,1944,2592
88,00089.jpg,49,195,1003,617,20,Audi S6 Sedan 2011,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Audi S6 Sedan 2011/00089.jpg,Sedan,2011,768,1024
89,00090.jpg,5,43,296,211,114,Ford F-150 Regular Cab 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ford F-150 Regular Cab 2007/00090.jpg,Cab,2007,225,300
90,00091.jpg,49,57,494,419,165,Mercedes-Benz S-Class Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Mercedes-Benz S-Class Sedan 2012/00091.jpg,Sedan,2012,480,640
91,00092.jpg,101,84,492,272,138,Hyundai Sonata Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Hyundai Sonata Sedan 2012/00092.jpg,Sedan,2012,338,600
92,00093.jpg,23,53,258,144,175,Rolls-Royce Phantom Drophead Coupe Convertible 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Rolls-Royce Phantom Drophead Coupe Convertible 2012/00093.jpg,Convertible,2012,183,275
93,00094.jpg,19,60,783,440,112,Ford GT Coupe 2006,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ford GT Coupe 2006/00094.jpg,Coupe,2006,491,786
94,00095.jpg,110,171,1213,648,122,GMC Canyon Extended Cab 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/GMC Canyon Extended Cab 2012/00095.jpg,Cab,2012,782,1280
95,00096.jpg,39,67,346,206,104,Ferrari 458 Italia Coupe 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ferrari 458 Italia Coupe 2012/00096.jpg,Coupe,2012,265,400
96,00097.jpg,3,7,76,50,57,Chevrolet Corvette Ron Fellows Edition Z06 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chevrolet Corvette Ron Fellows Edition Z06 2007/00097.jpg,Z06,2007,58,78
97,00098.jpg,65,37,578,360,51,Cadillac CTS-V Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Cadillac CTS-V Sedan 2012/00098.jpg,Sedan,2012,426,640
98,00099.jpg,27,60,486,364,37,BMW X3 SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/BMW X3 SUV 2012/00099.jpg,SUV,2012,383,510
99,00100.jpg,22,180,454,355,71,Chevrolet Express Van 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chevrolet Express Van 2007/00100.jpg,Van,2007,360,480
100,00101.jpg,70,39,940,742,193,Volvo C30 Hatchback 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Volvo C30 Hatchback 2012/00101.jpg,Hatchback,2012,768,1024
101,00102.jpg,99,130,396,222,105,Fisker Karma Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Fisker Karma Sedan 2012/00102.jpg,Sedan,2012,360,480
102,00103.jpg,85,107,609,381,61,Chevrolet Impala Sedan 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chevrolet Impala Sedan 2007/00103.jpg,Sedan,2007,480,640
103,00104.jpg,1,76,480,315,74,Chevrolet Silverado 1500 Extended Cab 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chevrolet Silverado 1500 Extended Cab 2012/00104.jpg,Cab,2012,360,480
104,00105.jpg,57,266,967,623,133,Hyundai Veracruz SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Hyundai Veracruz SUV 2012/00105.jpg,SUV,2012,768,1024
105,00106.jpg,69,75,236,161,162,Mercedes-Benz C-Class Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Mercedes-Benz C-Class Sedan 2012/00106.jpg,Sedan,2012,225,300
106,00107.jpg,24,17,249,163,131,Hyundai Santa Fe SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Hyundai Santa Fe SUV 2012/00107.jpg,SUV,2012,182,276
107,00108.jpg,7,27,212,147,88,Dodge Sprinter Cargo Van 2009,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Dodge Sprinter Cargo Van 2009/00108.jpg,Van,2009,159,212
108,00109.jpg,18,14,248,168,121,GMC Acadia SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/GMC Acadia SUV 2012/00109.jpg,SUV,2012,194,259
109,00110.jpg,19,2,591,387,180,Spyker C8 Coupe 2009,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Spyker C8 Coupe 2009/00110.jpg,Coupe,2009,398,600
110,00111.jpg,52,6,759,513,180,Spyker C8 Coupe 2009,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Spyker C8 Coupe 2009/00111.jpg,Coupe,2009,532,800
111,00112.jpg,231,103,430,226,137,Hyundai Genesis Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Hyundai Genesis Sedan 2012/00112.jpg,Sedan,2012,274,500
112,00113.jpg,91,148,700,582,133,Hyundai Veracruz SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Hyundai Veracruz SUV 2012/00113.jpg,SUV,2012,682,1024
113,00114.jpg,19,72,624,397,71,Chevrolet Express Van 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chevrolet Express Van 2007/00114.jpg,Van,2007,426,640
114,00115.jpg,26,90,376,243,83,Dodge Caliber Wagon 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Dodge Caliber Wagon 2012/00115.jpg,Wagon,2012,267,400
115,00116.jpg,132,120,667,401,110,Ford Edge SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ford Edge SUV 2012/00116.jpg,SUV,2012,492,786
116,00117.jpg,84,44,663,342,42,Bentley Continental GT Coupe 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Bentley Continental GT Coupe 2012/00117.jpg,Coupe,2012,383,753
117,00118.jpg,87,235,591,412,177,Rolls-Royce Phantom Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Rolls-Royce Phantom Sedan 2012/00118.jpg,Sedan,2012,420,630
118,00119.jpg,173,370,1207,960,147,Jeep Liberty SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Jeep Liberty SUV 2012/00119.jpg,SUV,2012,1026,1368
119,00120.jpg,3,19,195,114,161,Mercedes-Benz 300-Class Convertible 1993,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Mercedes-Benz 300-Class Convertible 1993/00120.jpg,Convertible,1993,150,200
120,00121.jpg,49,143,487,455,109,Ford Expedition EL SUV 2009,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ford Expedition EL SUV 2009/00121.jpg,SUV,2009,480,640
121,00122.jpg,72,67,233,176,28,BMW 1 Series Coupe 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/BMW 1 Series Coupe 2012/00122.jpg,Coupe,2012,200,300
122,00123.jpg,151,568,1954,1271,144,Jaguar XK XKR 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Jaguar XK XKR 2012/00123.jpg,XKR,2012,1575,2100
123,00124.jpg,14,88,271,178,53,Cadillac Escalade EXT Crew Cab 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Cadillac Escalade EXT Crew Cab 2007/00124.jpg,Cab,2007,214,285
124,00125.jpg,135,761,1894,1353,29,BMW 3 Series Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/BMW 3 Series Sedan 2012/00125.jpg,Sedan,2012,1536,2048
125,00126.jpg,44,123,778,487,66,Chevrolet Cobalt SS 2010,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chevrolet Cobalt SS 2010/00126.jpg,SS,2010,533,800
126,00127.jpg,69,103,537,322,79,Chrysler 300 SRT-8 2010,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chrysler 300 SRT-8 2010/00127.jpg,SRT-8,2010,387,620
127,00128.jpg,86,78,355,284,13,Audi A5 Coupe 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Audi A5 Coupe 2012/00128.jpg,Coupe,2012,329,438
128,00129.jpg,50,80,592,273,136,Hyundai Accent Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Hyundai Accent Sedan 2012/00129.jpg,Sedan,2012,348,607
129,00130.jpg,95,161,543,368,143,Isuzu Ascender SUV 2008,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Isuzu Ascender SUV 2008/00130.jpg,SUV,2008,480,640
130,00131.jpg,275,195,863,474,171,Nissan 240SX Coupe 1998,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Nissan 240SX Coupe 1998/00131.jpg,Coupe,1998,720,960
131,00132.jpg,99,78,557,389,89,Dodge Journey SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Dodge Journey SUV 2012/00132.jpg,SUV,2012,480,640
